winner,looser,total turns,width,height,ships,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
tie,tie,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,50,6,6,,,
,,,,,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,19,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,11,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,15,6,6,,,
